//KolobokGame Level. Created Automatically. Time: [18.09.2015 21:36:45]
841 523
11 627 383
11 644 349
11 641 317
11 605 257
11 473 179
11 350 133
11 290 137
11 302 251
11 358 353
11 403 396
11 444 400
11 522 385
11 551 351
11 542 300
11 529 244
11 513 179
14 638 220
14 609 174
14 521 129
14 370 115
14 304 124
14 296 196
14 326 226
14 414 245
14 489 175
14 537 144
14 571 95
14 585 79
14 638 118
14 655 183
14 650 232
14 624 257
14 555 264
14 512 252
14 469 211
14 455 178
14 449 143
14 457 126
14 469 117
0 150 443 640 68
5 658 396 125 50
5 136 401 35 62
0 102 165 157 61
0 374 203 135 101
0 621 233 185 51
10 116 46
